Field,Topic,Keyword,Related Word,Weight
環境,氣候變遷與自然災害,溫室氣體,特色,0.983011
環境,氣候變遷與自然災害,溫室氣體,評比,0.983001
環境,氣候變遷與自然災害,溫室氣體,供需,0.982995
環境,氣候變遷與自然災害,溫室氣體,肯定,0.982994
環境,氣候變遷與自然災害,溫室氣體,組織,0.982972
環境,氣候變遷與自然災害,溫室氣體,西門子,0.98297
環境,氣候變遷與自然災害,溫室氣體,徵收,0.982967
環境,氣候變遷與自然災害,溫室氣體,民間,0.98293
環境,氣候變遷與自然災害,溫室氣體,系列,0.982928
環境,氣候變遷與自然災害,溫室氣體,景氣,0.982914
環境,氣候變遷與自然災害,溫室氣體,金融業,0.982909
環境,氣候變遷與自然災害,溫室氣體,服務,0.982877
環境,氣候變遷與自然災害,溫室氣體,主辦,0.982876
環境,氣候變遷與自然災害,溫室氣體,不是,0.982828
環境,氣候變遷與自然災害,溫室氣體,LED,0.982819
環境,氣候變遷與自然災害,溫室氣體,彰化,0.98278
環境,氣候變遷與自然災害,溫室氣體,都市,0.982765
環境,氣候變遷與自然災害,溫室氣體,品質,0.982758
環境,氣候變遷與自然災害,溫室氣體,創新,0.982738
環境,氣候變遷與自然災害,溫室氣體,追求,0.98273
環境,氣候變遷與自然災害,溫室氣體,百萬,0.982718
環境,氣候變遷與自然災害,溫室氣體,大幅,0.982658
環境,氣候變遷與自然災害,溫室氣體,指出,0.982642
環境,氣候變遷與自然災害,溫室氣體,水產,0.982633
環境,氣候變遷與自然災害,溫室氣體,交流,0.982581
環境,氣候變遷與自然災害,溫室氣體,展望,0.982577
環境,氣候變遷與自然災害,溫室氣體,探討,0.982551
環境,氣候變遷與自然災害,溫室氣體,碳稅,0.982532
環境,氣候變遷與自然災害,溫室氣體,空氣,0.982526
環境,氣候變遷與自然災害,溫室氣體,氫能,0.982472
環境,氣候變遷與自然災害,溫室氣體,看俏,0.982444
環境,氣候變遷與自然災害,溫室氣體,獲獎,0.982424
環境,氣候變遷與自然災害,溫室氣體,論壇,0.982383
環境,氣候變遷與自然災害,溫室氣體,計畫,0.982325
環境,氣候變遷與自然災害,溫室氣體,主軸,0.982291
環境,氣候變遷與自然災害,溫室氣體,跨國,0.982278
環境,氣候變遷與自然災害,溫室氣體,參與,0.982254
環境,氣候變遷與自然災害,溫室氣體,節能減碳,0.982244
環境,氣候變遷與自然災害,溫室氣體,證明,0.982221
環境,氣候變遷與自然災害,溫室氣體,有機,0.982211
環境,氣候變遷與自然災害,溫室氣體,衝擊,0.982205
環境,氣候變遷與自然災害,溫室氣體,接軌,0.982201
環境,氣候變遷與自然災害,溫室氣體,鼓勵,0.982145
環境,氣候變遷與自然災害,溫室氣體,設施,0.982138
環境,氣候變遷與自然災害,溫室氣體,聯手,0.98213
環境,氣候變遷與自然災害,溫室氣體,消費,0.982079
環境,氣候變遷與自然災害,溫室氣體,河流,0.982075
環境,氣候變遷與自然災害,溫室氣體,亞太,0.982056
環境,氣候變遷與自然災害,溫室氣體,高峰,0.982004
環境,氣候變遷與自然災害,溫室氣體,管制,0.981955
環境,氣候變遷與自然災害,溫室氣體,成本,0.981949
環境,氣候變遷與自然災害,溫室氣體,達成,0.981941
環境,氣候變遷與自然災害,溫室氣體,價值,0.981936
環境,氣候變遷與自然災害,溫室氣體,剖析,0.981922
環境,氣候變遷與自然災害,溫室氣體,照明,0.981902
環境,氣候變遷與自然災害,溫室氣體,京都,0.981895
環境,氣候變遷與自然災害,溫室氣體,契機,0.981893
環境,氣候變遷與自然災害,溫室氣體,基礎,0.981861
環境,氣候變遷與自然災害,溫室氣體,核心,0.981776
環境,氣候變遷與自然災害,溫室氣體,金援,0.981769
環境,氣候變遷與自然災害,自然災害,UNK,1.0
環境,氣候變遷與自然災害,自然災害,颱風,0.897247
環境,氣候變遷與自然災害,自然災害,賞花,0.827222
環境,氣候變遷與自然災害,自然災害,櫻花,0.825342
環境,氣候變遷與自然災害,自然災害,UNK,0.821557
環境,氣候變遷與自然災害,自然災害,洪水,0.818795
環境,氣候變遷與自然災害,自然災害,桐花,0.799522
環境,氣候變遷與自然災害,自然災害,今年,0.793589
環境,氣候變遷與自然災害,自然災害,投保,0.779053
環境,氣候變遷與自然災害,自然災害,面積,0.763995
環境,氣候變遷與自然災害,自然災害,中國,0.755109
環境,氣候變遷與自然災害,自然災害,社論,0.749985
環境,氣候變遷與自然災害,自然災害,珊瑚,0.741543
環境,氣候變遷與自然災害,自然災害,巴馬,0.735283
環境,氣候變遷與自然災害,自然災害,災區,0.710596
環境,氣候變遷與自然災害,自然災害,綻放,0.70742
環境,氣候變遷與自然災害,自然災害,年來,0.695339
環境,氣候變遷與自然災害,自然災害,來自,0.693783
環境,氣候變遷與自然災害,自然災害,公園,0.693261
環境,氣候變遷與自然災害,自然災害,院士,0.688888
環境,氣候變遷與自然災害,自然災害,新高,0.68421
環境,氣候變遷與自然災害,自然災害,熱門話題,0.67749
環境,氣候變遷與自然災害,自然災害,華南,0.674744
環境,氣候變遷與自然災害,自然災害,吳揆,0.670714
環境,氣候變遷與自然災害,自然災害,可能,0.667825
環境,氣候變遷與自然災害,自然災害,時尚,0.666726
環境,氣候變遷與自然災害,自然災害,網友,0.663471
環境,氣候變遷與自然災害,自然災害,地球,0.662205
環境,氣候變遷與自然災害,自然災害,極地,0.661708
環境,氣候變遷與自然災害,自然災害,我見,0.659703
環境,氣候變遷與自然災害,自然災害,我思,0.655861
環境,氣候變遷與自然災害,自然災害,汙染,0.652686
環境,氣候變遷與自然災害,自然災害,日本,0.652392
環境,氣候變遷與自然災害,自然災害,大陸,0.652012
環境,氣候變遷與自然災害,自然災害,爭議,0.649337
環境,氣候變遷與自然災害,自然災害,治水,0.647837
環境,氣候變遷與自然災害,自然災害,嚴重,0.644031
環境,氣候變遷與自然災害,自然災害,夏季,0.643447
環境,氣候變遷與自然災害,自然災害,陸港,0.638301
環境,氣候變遷與自然災害,自然災害,加上,0.637869
環境,氣候變遷與自然災害,自然災害,暖化,0.63683
環境,氣候變遷與自然災害,自然災害,緊急,0.636415
環境,氣候變遷與自然災害,自然災害,高溫,0.635776
環境,氣候變遷與自然災害,自然災害,風險,0.635613
環境,氣候變遷與自然災害,自然災害,強震,0.634995
環境,氣候變遷與自然災害,自然災害,旅遊,0.633034
環境,氣候變遷與自然災害,自然災害,下半年,0.630866
環境,氣候變遷與自然災害,自然災害,觀光,0.629106
環境,氣候變遷與自然災害,自然災害,生物,0.62887
環境,氣候變遷與自然災害,自然災害,防災,0.628458
環境,氣候變遷與自然災害,自然災害,提早,0.62687
環境,氣候變遷與自然災害,自然災害,美國,0.626123
環境,氣候變遷與自然災害,自然災害,減碳,0.625147
環境,氣候變遷與自然災害,自然災害,問題,0.625045
環境,氣候變遷與自然災害,自然災害,咖啡,0.622783
環境,氣候變遷與自然災害,自然災害,災難,0.622249
環境,氣候變遷與自然災害,自然災害,開花,0.621983
環境,氣候變遷與自然災害,自然災害,出現,0.621645
環境,氣候變遷與自然災害,自然災害,產險,0.621312
環境,氣候變遷與自然災害,自然災害,台北,0.619388
環境,氣候變遷與自然災害,自然災害,樹苗,0.618991
環境,氣候變遷與自然災害,自然災害,去年,0.618771
環境,氣候變遷與自然災害,自然災害,不能,0.618556
環境,氣候變遷與自然災害,自然災害,協議,0.618012
環境,氣候變遷與自然災害,自然災害,暴雨,0.616389
環境,氣候變遷與自然災害,自然災害,人民,0.616353
環境,氣候變遷與自然災害,自然災害,解渴,0.616248
環境,氣候變遷與自然災害,自然災害,上路,0.615863
環境,氣候變遷與自然災害,自然災害,內閣,0.613577
環境,氣候變遷與自然災害,自然災害,植樹,0.61349
環境,氣候變遷與自然災害,自然災害,石油,0.612864
環境,氣候變遷與自然災害,自然災害,環團,0.611537
環境,氣候變遷與自然災害,自然災害,印度,0.611075
環境,氣候變遷與自然災害,自然災害,我們,0.609427
環境,氣候變遷與自然災害,自然災害,歷史,0.607535
環境,氣候變遷與自然災害,自然災害,影片,0.60715
環境,氣候變遷與自然災害,自然災害,總統,0.607029
環境,氣候變遷與自然災害,自然災害,專欄,0.606722
環境,氣候變遷與自然災害,自然災害,兩岸,0.605897
環境,氣候變遷與自然災害,自然災害,氣候異常,0.605614
環境,氣候變遷與自然災害,自然災害,歷來,0.605166
環境,氣候變遷與自然災害,自然災害,風災,0.604324
環境,氣候變遷與自然災害,自然災害,救災,0.603268
環境,氣候變遷與自然災害,自然災害,人類,0.603016
環境,氣候變遷與自然災害,自然災害,興建,0.602837
環境,氣候變遷與自然災害,自然災害,頻傳,0.602518
環境,氣候變遷與自然災害,自然災害,示警,0.601341
環境,氣候變遷與自然災害,自然災害,價格,0.601259
環境,氣候變遷與自然災害,自然災害,效應,0.600546
環境,氣候變遷與自然災害,自然災害,國光,0.600388
環境,氣候變遷與自然災害,自然災害,成為,0.599456
環境,氣候變遷與自然災害,自然災害,啟動,0.599232
環境,氣候變遷與自然災害,自然災害,守護,0.598931
環境,氣候變遷與自然災害,自然災害,以來,0.598812
環境,氣候變遷與自然災害,自然災害,觀念,0.598733
環境,氣候變遷與自然災害,自然災害,檔案,0.5969
環境,氣候變遷與自然災害,自然災害,獲得,0.595461
環境,氣候變遷與自然災害,自然災害,預算,0.59497
環境,氣候變遷與自然災害,自然災害,股市,0.594316
環境,氣候變遷與自然災害,自然災害,月底,0.593684
環境,氣候變遷與自然災害,自然災害,上海,0.592781
環境,氣候變遷與自然災害,自然災害,消失,0.592537
環境,氣候變遷與自然災害,自然災害,氣象,0.592065
環境,氣候變遷與自然災害,自然災害,天災,0.591862
環境,氣候變遷與自然災害,自然災害,不到,0.591383
環境,氣候變遷與自然災害,自然災害,中央,0.591125
環境,氣候變遷與自然災害,自然災害,目前,0.591111
環境,氣候變遷與自然災害,自然災害,共和黨,0.589322
環境,氣候變遷與自然災害,自然災害,淨利,0.588948
環境,氣候變遷與自然災害,自然災害,打造,0.58858
環境,氣候變遷與自然災害,自然災害,遠東,0.588482
環境,氣候變遷與自然災害,自然災害,峰會,0.588431
環境,氣候變遷與自然災害,自然災害,最大,0.588403
環境,氣候變遷與自然災害,自然災害,規模,0.586486
環境,氣候變遷與自然災害,自然災害,掃描,0.585787
環境,氣候變遷與自然災害,自然災害,觀盤,0.585376
環境,氣候變遷與自然災害,自然災害,國會,0.585335
環境,氣候變遷與自然災害,自然災害,北極熊,0.585083
環境,氣候變遷與自然災害,自然災害,保護,0.584554
環境,氣候變遷與自然災害,自然災害,水庫,0.584424
環境,氣候變遷與自然災害,自然災害,記得,0.584363
環境,氣候變遷與自然災害,自然災害,最後,0.584244
環境,氣候變遷與自然災害,自然災害,大氣,0.584025
環境,氣候變遷與自然災害,自然災害,抗旱,0.583425
環境,氣候變遷與自然災害,自然災害,華府,0.583085
環境,氣候變遷與自然災害,自然災害,開放,0.582484
環境,氣候變遷與自然災害,自然災害,阻力,0.582416
環境,氣候變遷與自然災害,自然災害,設計,0.581498
環境,氣候變遷與自然災害,自然災害,地震,0.581174
環境,氣候變遷與自然災害,自然災害,名家,0.581071
環境,氣候變遷與自然災害,自然災害,故事,0.580982
環境,氣候變遷與自然災害,自然災害,生態,0.580766
環境,氣候變遷與自然災害,自然災害,政院,0.580567
環境,氣候變遷與自然災害,自然災害,環保,0.58049
環境,氣候變遷與自然災害,自然災害,提前,0.580399
環境,氣候變遷與自然災害,自然災害,史上,0.580182
環境,氣候變遷與自然災害,自然災害,號召,0.579967
環境,氣候變遷與自然災害,自然災害,大頭,0.579141
環境,氣候變遷與自然災害,自然災害,影響,0.578762
環境,氣候變遷與自然災害,自然災害,地方,0.578378
環境,氣候變遷與自然災害,自然災害,金融,0.578202
環境,氣候變遷與自然災害,自然災害,乾旱,0.578182
環境,氣候變遷與自然災害,自然災害,遷徙,0.578051
環境,氣候變遷與自然災害,自然災害,安全,0.577615
環境,氣候變遷與自然災害,自然災害,不會,0.577578
環境,氣候變遷與自然災害,自然災害,抗暖化,0.577101
環境,氣候變遷與自然災害,自然災害,聯合國,0.576987
環境,氣候變遷與自然災害,自然災害,成功,0.576593
環境,氣候變遷與自然災害,自然災害,搶救,0.575489
環境,氣候變遷與自然災害,自然災害,陸續,0.575453
環境,氣候變遷與自然災害,自然災害,水患,0.575004
環境,氣候變遷與自然災害,自然災害,招生,0.574711
環境,氣候變遷與自然災害,自然災害,建構,0.574577
環境,氣候變遷與自然災害,自然災害,國家,0.574157
環境,氣候變遷與自然災害,自然災害,電影,0.574104
環境,氣候變遷與自然災害,自然災害,最高,0.574025
環境,氣候變遷與自然災害,自然災害,研究,0.573782
環境,氣候變遷與自然災害,自然災害,什麼,0.573686
環境,氣候變遷與自然災害,自然災害,威脅,0.573372
環境,氣候變遷與自然災害,自然災害,收成,0.573252
環境,氣候變遷與自然災害,自然災害,學者,0.573129
環境,氣候變遷與自然災害,自然災害,高爾,0.573101
環境,氣候變遷與自然災害,自然災害,海嘯,0.572941
環境,氣候變遷與自然災害,自然災害,團隊,0.572699
環境,氣候變遷與自然災害,自然災害,帶頭,0.572182
環境,氣候變遷與自然災害,自然災害,面臨,0.571329
環境,氣候變遷與自然災害,自然災害,關係,0.571025
環境,氣候變遷與自然災害,自然災害,減產,0.570962
環境,氣候變遷與自然災害,自然災害,加拿大,0.570907
環境,氣候變遷與自然災害,自然災害,作戰,0.570601
環境,氣候變遷與自然災害,自然災害,科工,0.570601
環境,氣候變遷與自然災害,自然災害,淹水,0.570512
環境,氣候變遷與自然災害,自然災害,天氣,0.570422
環境,氣候變遷與自然災害,自然災害,環保局,0.570002
環境,氣候變遷與自然災害,自然災害,還是,0.56986
環境,氣候變遷與自然災害,自然災害,員工,0.56942
環境,氣候變遷與自然災害,自然災害,獨立,0.569345
環境,氣候變遷與自然災害,自然災害,現在,0.569047
環境,氣候變遷與自然災害,自然災害,海洋,0.569025
環境,氣候變遷與自然災害,自然災害,引進,0.569014
環境,氣候變遷與自然災害,自然災害,一周,0.568886
環境,氣候變遷與自然災害,自然災害,安心,0.568738
環境,氣候變遷與自然災害,自然災害,時候,0.568459
環境,氣候變遷與自然災害,自然災害,明星,0.568334
環境,氣候變遷與自然災害,自然災害,有效,0.567533
環境,氣候變遷與自然災害,自然災害,關燈,0.567316
環境,氣候變遷與自然災害,自然災害,第一,0.567231
環境,氣候變遷與自然災害,自然災害,北京,0.567069
環境,氣候變遷與自然災害,自然災害,上漲,0.567061
環境,氣候變遷與自然災害,自然災害,過度,0.567058
環境,氣候變遷與自然災害,自然災害,澳洲,0.566781
環境,氣候變遷與自然災害,自然災害,教宗,0.566565
環境,氣候變遷與自然災害,自然災害,預測,0.566558
環境,氣候變遷與自然災害,自然災害,避免,0.566376
環境,氣候變遷與自然災害,自然災害,公布,0.565624
環境,氣候變遷與自然災害,自然災害,歐習,0.565304
環境,氣候變遷與自然災害,自然災害,最熱,0.565073
環境,氣候變遷與自然災害,自然災害,石化,0.564977
環境,氣候變遷與自然災害,自然災害,現象,0.564743
環境,氣候變遷與自然災害,自然災害,設備,0.56435
